Land-type depth A  depth B  WP A     WP B     FC A     FC B     Por A    Por B
1156      0.23     0.29     0.23     0.25     0.28     0.30     0.44     0.44
1198      0.26     0.41     0.22     0.24     0.28     0.30     0.44     0.43
1312      0.23     0.37     0.18     0.26     0.25     0.31     0.41     0.42
1354      0.22     0.32     0.16     0.22     0.23     0.29     0.43     0.43
1481      0.24     0.41     0.14     0.20     0.22     0.27     0.44     0.42
1518      0.25     0.43     0.15     0.21     0.23     0.28     0.42     0.41
1522      0.21     0.23     0.15     0.16     0.23     0.24     0.44     0.41
1687      0.21     0.21     0.18     0.26     0.25     0.31     0.41     0.41
1745      0.28     0.51     0.13     0.19     0.22     0.27     0.44     0.42
1789      0.23     0.34     0.18     0.25     0.25     0.30     0.41     0.41
1823      0.28     0.53     0.14     0.20     0.22     0.27     0.43     0.40
2093      0.23     0.34     0.13     0.15     0.21     0.23     0.45     0.43
2125      0.22     0.43     0.18     0.19     0.25     0.26     0.43     0.41
2243      0.20     0.13     0.23     0.23     0.28     0.29     0.41     0.42
